path,type,family,purpose,inputs,outputs,imports,callers,hard_coded_paths,status,uncertainty,syntax
scripts/road_validation/05_estimate_road_area_from_metric_depth.py,py,Road extraction/area,05 estimate road area from metric depth,,outputs/validation/road_feature_validation_pack_v1/depth_road_area_estimate_single.csv,pathlib | argparse | cv2 | numpy | pandas,scripts/road_area/06_area_sensitivity_by_fov.py | scripts/road_area/09_multi_frame_vehicle_calibration.py,,active or historical; uncertain,low-medium,ok
src/road_features/__init__.py,py,Road extraction/area,  init  ,,,,,,active or historical; uncertain,medium: inferred from static code and naming,ok
src/road_features/clip_road_classifier.py,py,Road extraction/area,clip road classifier,,,PIL | transformers,,,active or historical; uncertain,medium: inferred from static code and naming,ok
src/road_features/opencv_features.py,py,Road extraction/area,opencv features,,,cv2 | numpy,,,active or historical; uncertain,medium: inferred from static code and naming,ok
src/road_roi/__init__.py,py,Road extraction/area,  init  ,,,,,,active or historical; uncertain,medium: inferred from static code and naming,ok
src/road_roi/cropper.py,py,Road extraction/area,cropper,,,,,,active or historical; uncertain,medium: inferred from static code and naming,ok
sequence_leakage_audit/__init__.py,py,Sequence-leakage/forecasting,  init  ,,,,,,active or historical; uncertain,medium: inferred from static code and naming,ok
sequence_leakage_audit/bootstrap_metric_ci.py,py,Sequence-leakage/forecasting,bootstrap metric ci,,,argparse | pathlib | numpy | pandas | sklearn.metrics,,,active or historical; uncertain,medium: inferred from static code and naming,ok
sequence_leakage_audit/build_forecasting_manifest.py,py,Sequence-leakage/forecasting,build forecasting manifest,,,argparse | pathlib | pandas | numpy,,,active or historical; uncertain,medium: inferred from static code and naming,ok
sequence_leakage_audit/build_hourly_base_manifest.py,py,Sequence-leakage/forecasting,build hourly base manifest,,,argparse | pathlib | numpy | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
sequence_leakage_audit/combine_overlap_summaries.py,py,Sequence-leakage/forecasting,combine overlap summaries,,experiments/traqid_pretraining_v1/reports/sequence_overlap_diagnostics | experiments/traqid_pretraining_v1/reports/paper_final,pathlib | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
sequence_leakage_audit/evaluate_estimation_baselines.py,py,Sequence-leakage/forecasting,evaluate estimation baselines,,,argparse | pathlib | numpy | pandas | sklearn.metrics,,,active or historical; uncertain,medium: inferred from static code and naming,ok
sequence_leakage_audit/make_forecast_final_combined_table.py,py,Sequence-leakage/forecasting,make forecast final combined table,,experiments/traqid_pretraining_v1 | reports/sequence_overlap_diagnostics | reports/forecast_numerical_baselines_T12_H12_timestamp/forecast_numerical_baseline_summary.csv | reports/forecast_numerical_lstm_T12_H12_timestamp/forecast_numerical_lstm_summary.csv | reports/paper_final,pathlib | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
sequence_leakage_audit/make_forecast_leakage_performance_table.py,py,Sequence-leakage/forecasting,make forecast leakage performance table,,experiments/traqid_pretraining_v1 | reports/sequence_overlap_diagnostics | reports/forecast_numerical_baselines_T12_H12_timestamp/forecast_numerical_baseline_summary.csv | reports/paper_final,pathlib | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
sequence_leakage_audit/make_forecast_overlap_table.py,py,Sequence-leakage/forecasting,make forecast overlap table,,experiments/traqid_pretraining_v1/reports/sequence_overlap_diagnostics | experiments/traqid_pretraining_v1/reports/paper_final,pathlib | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
sequence_leakage_audit/make_validation_ladder_table.py,py,Sequence-leakage/forecasting,make validation ladder table,,experiments/traqid_pretraining_v1/reports/paper_final,pathlib | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
sequence_leakage_audit/overlap_diagnostic.py,py,Sequence-leakage/forecasting,overlap diagnostic,,,argparse | math | pathlib | collections | numpy | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
sequence_leakage_audit/train_forecast_numerical_baselines.py,py,Sequence-leakage/forecasting,train forecast numerical baselines,,,argparse | json | pathlib | numpy | pandas | sklearn.ensemble | sklearn.linear_model | sklearn.metrics | sklearn.multioutput | sklearn.preprocessing | sklearn.pipeline | sklearn.compose,,,active or historical; uncertain,medium: inferred from static code and naming,ok
sequence_leakage_audit/train_forecast_numerical_lstm.py,py,Sequence-leakage/forecasting,train forecast numerical lstm,,,argparse | json | math | random | pathlib | numpy | pandas | torch | torch.nn | torch.utils.data | sklearn.metrics | sklearn.preprocessing,,,active or historical; uncertain,medium: inferred from static code and naming,ok
outputs/reports,directory,Shared/support,Experiment family root (75 files; .jpg:24; .png:24; .csv:23; [no_ext]:3; .txt:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
outputs/reports/car_pm2_negative_diagnosis_281,directory,Shared/support,Generated report/evaluation tree (44 files; .jpg:24; .csv:13; .png:5; .txt:1; [no_ext]:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
outputs/reports/car_pm2_negative_diagnosis_281/decile_analysis,directory,Shared/support,Generated report/evaluation tree (3 files; .png:2; .csv:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
outputs/reports/car_pm2_negative_diagnosis_281/visual_audit_from_existing_annotations,directory,Shared/support,Generated report/evaluation tree (27 files; .jpg:24; .csv:3),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
outputs/reports/car_pm2_negative_diagnosis_281/visual_audit_from_existing_annotations/high_auto_truck_high_pm2,directory,Shared/support,Generated report/evaluation tree (0 files; ),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
outputs/reports/car_pm2_negative_diagnosis_281/visual_audit_from_existing_annotations/high_car_high_pm2,directory,Shared/support,Generated report/evaluation tree (12 files; .jpg:12),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
outputs/reports/car_pm2_negative_diagnosis_281/visual_audit_from_existing_annotations/high_car_low_pm2,directory,Shared/support,Generated report/evaluation tree (12 files; .jpg:12),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
outputs/reports/car_pm2_negative_diagnosis_281/visual_audit_from_existing_annotations/low_car_high_pm2,directory,Shared/support,Generated report/evaluation tree (0 files; ),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
outputs/reports/car_pm2_negative_diagnosis_281/visual_audit_missing_recovery,directory,Shared/support,Generated report/evaluation tree (1 files; .txt:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
outputs/reports/high_car_pm_analysis_281,directory,Shared/support,Generated report/evaluation tree (12 files; .png:8; .csv:4),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
outputs/reports/vehicle_pm_correlation_281_roadarea,directory,Shared/support,Generated report/evaluation tree (14 files; .png:9; .csv:4; [no_ext]:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
outputs/reports/vehicle_pm_correlation_281_roadarea/individual_scatter_pm2,directory,Shared/support,Generated report/evaluation tree (9 files; .png:8; .csv:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
outputs/reports/vehicle_pm_correlation_281_roadarea/partial_vehicle_pm2,directory,Shared/support,Generated report/evaluation tree (1 files; .csv:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
models/detectors/yolo11m_idd15_v1_best.pt,model_artifact,Shared/support,Serialized trained model/checkpoint or preprocessing object; exact contents not deserialized during audit,,,,,,active or historical; uncertain,medium-high: inferred from filename/folder; producer often parameterized,n/a
app/road_dust_validator_app.py,py,Shared/support,road dust validator app,models/road_segmentation/,,pathlib | io | cv2 | numpy | pandas | streamlit | torch | PIL | transformers,,,active or historical; uncertain,medium: inferred from static code and naming,ok
app/road_feature_normalization_validator.py,py,Shared/support,road feature normalization validator,models/road_segmentation/,,pathlib | cv2 | numpy | pandas | streamlit | torch | PIL | transformers,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/analysis/01_particle_density_correlation_analysis.py,py,Shared/support,01 particle density correlation analysis,,outputs/features/particle_density_modeling_table_v2.csv | outputs/features/particle_density_feature_correlations_v2.csv,pathlib | argparse | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/analysis/02_analyze_car_pm2_negative_correlation.py,py,Shared/support,02 analyze car pm2 negative correlation,,outputs/features/particle_density_modeling_table_idd_finetuned_osm_v2.csv | outputs/validation/road_feature_validation_pack_v1/manual_label_sheet.csv | outputs/analysis/car_pm2_negative_correlation,pathlib | argparse | numpy | pandas | scipy.stats | sklearn.linear_model | matplotlib.pyplot,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/analysis/02_compare_pretrained_vs_finetuned_road_model.py,py,Shared/support,02 compare pretrained vs finetuned road model,,outputs/features/particle_density_feature_correlations_v2.csv | outputs/features/particle_density_feature_correlations_idd_finetuned_v2.csv | outputs/features/particle_density_modeling_table_v2.csv | outputs/features/particle_density_modeling_table_idd_finetuned_v2.csv | outputs/features/pretrained_vs_idd_finetuned_all_correlation_comparison_v2.csv | outputs/features/pretrained_vs_idd_finetuned_key_correlation_comparison_v2.csv | outputs/features/pretrained_vs_idd_finetuned_road_feature_stats_v2.csv,pathlib | argparse | numpy | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/analysis/03_generate_high_traffic_visual_audit_pack.py,py,Shared/support,03 generate high traffic visual audit pack,,outputs/features/particle_density_modeling_table_idd_finetuned_osm_v2.csv | outputs/features/processed_frame_manifest_preprocessed_v2.csv | outputs/analysis/high_traffic_visual_audit_pack,pathlib | argparse | html | cv2 | numpy | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/analysis/04_generate_car_pm2_contrast_visual_audit.py,py,Shared/support,04 generate car pm2 contrast visual audit,,,pathlib | argparse | cv2 | numpy | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/analysis/05_make_wb_visual_proof_sheets.py,py,Shared/support,05 make wb visual proof sheets,,outputs/road_dust_wb_validation_new,pathlib | cv2 | numpy | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/diagnostics/01_inspect_lens_image_quality_stats.py,py,Shared/support,01 inspect lens image quality stats,,outputs/features/processed_frame_manifest_preprocessed_v2.csv | outputs/diagnostics/lens_image_quality_stats_v2.csv | outputs/diagnostics/lens_image_quality_summary_v2.csv,pathlib | argparse | cv2 | numpy | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/diagnostics/02_scan_external_media_metadata.py,py,Shared/support,02 scan external media metadata,,outputs/diagnostics/external_media_metadata_scan.csv,pathlib | argparse | json | subprocess | shutil | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/frame_extraction/01_extract_frames_from_sensor_timestamps.py,py,Shared/support,Extract video frames from external hard-drive camera runs at sensor timestamps.,,data/sensor/MC1S_window_115430_124150.csv | outputs/extracted_frames_v2 | outputs/features/processed_frame_manifest_v2.csv,pathlib | argparse | json | subprocess | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/modeling/01_ablation_modeling_pm.py,py,Shared/support,01 ablation modeling pm,,outputs/features/particle_density_modeling_table_idd_finetuned_osm_v2.csv | outputs/modeling/ablation_pm2_idd_finetuned_osm_v2,pathlib | argparse | json | warnings | numpy | pandas | scipy.stats | sklearn.dummy | sklearn.ensemble | sklearn.impute | sklearn.linear_model | sklearn.metrics | sklearn.model_selection | sklearn.pipeline | sklearn.preprocessing,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/modeling/02_density_target_ablation_pipeline.py,py,Shared/support,02 density target ablation pipeline,,outputs/features/particle_density_modeling_table_idd_finetuned_osm_v2.csv | outputs/features/particle_density_modeling_table_idd_finetuned_osm_density_v2.csv | outputs/modeling/ablation_effective_density_idd_finetuned_osm_v2,pathlib | argparse | json | warnings | numpy | pandas | scipy.stats | sklearn.dummy | sklearn.ensemble | sklearn.impute | sklearn.linear_model | sklearn.metrics | sklearn.model_selection | sklearn.pipeline | sklearn.preprocessing,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/modeling/03_build_mumma_resnet_frame_manifest.py,py,Shared/support,03 build mumma resnet frame manifest,,,argparse | pathlib | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/modeling/04_extract_mumma_resnet50_features.py,py,Shared/support,04 extract mumma resnet50 features,,,argparse | pathlib | numpy | pandas | torch | PIL | torchvision | tqdm,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/modeling/05_merge_mumma_engineered_features_with_resnet50.py,py,Shared/support,05 merge mumma engineered features with resnet50,,,argparse | pathlib | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/modeling/06_train_mumma_pm25_ablation_models.py,py,Shared/support,06 train mumma pm25 ablation models,,,argparse | pathlib | numpy | pandas | sklearn.ensemble | sklearn.impute | sklearn.linear_model | sklearn.metrics | sklearn.multioutput | sklearn.pipeline | sklearn.preprocessing,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/preprocessing/01_apply_lens_preprocessing.py,py,Shared/support,01 apply lens preprocessing,,outputs/features/processed_frame_manifest_v2.csv | outputs/preprocessed_frames_v2 | outputs/features/processed_frame_manifest_preprocessed_v2.csv,pathlib | argparse | cv2 | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/recovery/rebuild_preprocessed_manifest_from_files.py,py,Shared/support,rebuild preprocessed manifest from files,,outputs/preprocessed_frames_v2 | outputs/features/processed_frame_manifest_v2.csv | outputs/features/processed_frame_manifest_preprocessed_v2.csv,pathlib | re | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
src/__init__.py,py,Shared/support,  init  ,,,,,,active or historical; uncertain,medium: inferred from static code and naming,ok
src/alignment/__init__.py,py,Shared/support,  init  ,,,,,,active or historical; uncertain,medium: inferred from static code and naming,ok
src/evaluation/__init__.py,py,Shared/support,  init  ,,,,,,active or historical; uncertain,medium: inferred from static code and naming,ok
src/evaluation/metrics.py,py,Shared/support,metrics,,,,,,active or historical; uncertain,medium: inferred from static code and naming,ok
src/modeling/__init__.py,py,Shared/support,  init  ,,,,,,active or historical; uncertain,medium: inferred from static code and naming,ok
src/modeling/train.py,py,Shared/support,train,,,,,,active or historical; uncertain,medium: inferred from static code and naming,ok
src/temporal_features/__init__.py,py,Shared/support,  init  ,,,,,,active or historical; uncertain,medium: inferred from static code and naming,ok
src/temporal_features/builder.py,py,Shared/support,builder,,,,,,active or historical; uncertain,medium: inferred from static code and naming,ok
src/utils/__init__.py,py,Shared/support,  init  ,,,,,,active or historical; uncertain,medium: inferred from static code and naming,ok
src/utils/io.py,py,Shared/support,io,,,,,,active or historical; uncertain,medium: inferred from static code and naming,ok
src/utils/old_config_reference.py,py,Shared/support,old config reference,,,pathlib,,,archived/superseded,medium: inferred from static code and naming,ok
experiments/traqid_pretraining_v1,directory,TRAQID,Experiment family root (54942 files; .png:53956; .csv:550; .json:138; .py:81; .md:54; .pt:38; .joblib:36; .txt:36; .npz:30; .npy:16; [no_ext]:4; .save:2; .ipynb:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/pipeline_validation/reports,directory,TRAQID,Generated report/evaluation tree (48 files; .csv:47; .json:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,validation branch,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports,directory,TRAQID,Generated report/evaluation tree (747 files; .csv:452; .json:132; .md:54; .txt:35; .joblib:30; .npz:25; .png:19),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/bootstrap_ci,directory,TRAQID,Generated report/evaluation tree (8 files; .csv:4; .md:4),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/diverse_resnet50_concat_bigru,directory,TRAQID,Generated report/evaluation tree (6 files; .csv:3; .json:1; .npz:1; .txt:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/diverse_resnet50_concat_lstm,directory,TRAQID,Generated report/evaluation tree (6 files; .csv:3; .json:1; .npz:1; .txt:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/diverse_resnet50_mean_gru,directory,TRAQID,Generated report/evaluation tree (6 files; .csv:3; .json:1; .npz:1; .txt:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/diverse_vgg16_concat_bigru,directory,TRAQID,Generated report/evaluation tree (6 files; .csv:3; .json:1; .npz:1; .txt:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/diverse_vgg16_concat_gru,directory,TRAQID,Generated report/evaluation tree (6 files; .csv:3; .json:1; .npz:1; .txt:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/diverse_vgg16_mean_gru,directory,TRAQID,Generated report/evaluation tree (6 files; .csv:3; .json:1; .npz:1; .txt:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/embedding_baselines,directory,TRAQID,Generated report/evaluation tree (4 files; .csv:3; .json:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/embedding_classical_baselines,directory,TRAQID,Generated report/evaluation tree (8 files; .csv:4; .json:3; .md:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/embedding_classical_baselines/extratrees_embedding_only_mean_pca256_traqid_paper_style_T7_front_sequence_manifest_time_balanced_purged_split_time_balanced_purged,directory,TRAQID,Generated report/evaluation tree (2 files; .csv:1; .json:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,current evidence,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/embedding_classical_baselines/extratrees_embedding_plus_tabular_mean_pca256_traqid_paper_style_T7_front_sequence_manifest_time_balanced_purged_split_time_balanced_purged,directory,TRAQID,Generated report/evaluation tree (2 files; .csv:1; .json:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,current evidence,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/embedding_classical_baselines/rf_embedding_plus_tabular_mean_pca256_traqid_paper_style_T7_front_sequence_manifest_time_balanced_purged_split_time_balanced_purged,directory,TRAQID,Generated report/evaluation tree (2 files; .csv:1; .json:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,current evidence,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/embedding_extraction,directory,TRAQID,Generated report/evaluation tree (1 files; .json:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/estimation_baselines,directory,TRAQID,Generated report/evaluation tree (8 files; .csv:4; .md:4),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/forecast_numerical_baselines_T12_H12_timestamp,directory,TRAQID,Generated report/evaluation tree (3 files; .csv:1; .json:1; .md:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/forecast_numerical_lstm_T12_H12_timestamp,directory,TRAQID,Generated report/evaluation tree (3 files; .csv:1; .json:1; .md:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/gated_resnet50_concat_gru_seed11,directory,TRAQID,Generated report/evaluation tree (7 files; .csv:4; .json:1; .npz:1; .txt:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/grouped_date_feature_ablation,directory,TRAQID,Generated report/evaluation tree (5 files; .csv:4; .json:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/lodo_embedding_baselines,directory,TRAQID,Generated report/evaluation tree (6 files; .csv:5; .json:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/paper_cnn_lstm,directory,TRAQID,Generated report/evaluation tree (12 files; .csv:8; .json:4),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/paper_cnn_lstm/traqid_paper_resnet50_front_gap_traqid_paper_style_T7_front_sequence_manifest_split_random,directory,TRAQID,Generated report/evaluation tree (3 files; .csv:2; .json:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/paper_cnn_lstm/traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T7_front_sequence_manifest_split_random,directory,TRAQID,Generated report/evaluation tree (3 files; .csv:2; .json:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/paper_cnn_lstm/traqid_paper_resnet50_front_rear_mean_gap_traqid_paper_style_T7_front_sequence_manifest_split_random,directory,TRAQID,Generated report/evaluation tree (3 files; .csv:2; .json:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/paper_cnn_lstm/traqid_paper_vgg16_front_gap_traqid_paper_style_T7_front_sequence_manifest_split_random,directory,TRAQID,Generated report/evaluation tree (3 files; .csv:2; .json:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/paper_cnn_lstm_tabular_fusion,directory,TRAQID,Generated report/evaluation tree (36 files; .csv:24; .json:11; .md:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/paper_cnn_lstm_tabular_fusion/t_sweep_summary,directory,TRAQID,Generated report/evaluation tree (2 files; .csv:1; .md:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/paper_cnn_lstm_tabular_fusion/traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T2_front_sequence_manifest_split_random_tabular_fusion,directory,TRAQID,Generated report/evaluation tree (3 files; .csv:2; .json:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/paper_cnn_lstm_tabular_fusion/traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T3_front_sequence_manifest_split_random_tabular_fusion,directory,TRAQID,Generated report/evaluation tree (3 files; .csv:2; .json:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/paper_cnn_lstm_tabular_fusion/traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T4_front_sequence_manifest_split_random_tabular_fusion,directory,TRAQID,Generated report/evaluation tree (3 files; .csv:2; .json:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/paper_cnn_lstm_tabular_fusion/traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T5_front_sequence_manifest_split_random_tabular_fusion,directory,TRAQID,Generated report/evaluation tree (3 files; .csv:2; .json:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/paper_cnn_lstm_tabular_fusion/traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T6_front_sequence_manifest_split_random_tabular_fusion,directory,TRAQID,Generated report/evaluation tree (3 files; .csv:2; .json:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/paper_cnn_lstm_tabular_fusion/traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T7_front_sequence_manifest_split_chrono_date_tabular_fusion,directory,TRAQID,Generated report/evaluation tree (3 files; .csv:2; .json:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/paper_cnn_lstm_tabular_fusion/traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T7_front_sequence_manifest_split_random_tabular_fusion,directory,TRAQID,Generated report/evaluation tree (3 files; .csv:2; .json:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/paper_cnn_lstm_tabular_fusion/traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T7_front_sequence_manifest_split_twofold_tabular_fusion,directory,TRAQID,Generated report/evaluation tree (3 files; .csv:2; .json:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/paper_cnn_lstm_tabular_fusion/traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T7_front_sequence_manifest_twofold_swapped_split_twofold_swapped_tabular_fusion,directory,TRAQID,Generated report/evaluation tree (3 files; .csv:2; .json:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/paper_cnn_lstm_tabular_fusion/traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T8_front_sequence_manifest_split_random_tabular_fusion,directory,TRAQID,Generated report/evaluation tree (3 files; .csv:2; .json:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/paper_cnn_lstm_tabular_fusion/traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T9_front_sequence_manifest_split_random_tabular_fusion,directory,TRAQID,Generated report/evaluation tree (3 files; .csv:2; .json:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/traqid_pretraining_v1/reports/paper_cnn_lstm_tabular_fusion_final80,directory,TRAQID,Generated report/evaluation tree (3 files; .csv:2; .json:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
